Question,Answer
How do I handle a provider refusing to pay after an appeal was denied?,"Ask if you can coordinate a discussion with their coder and ours for a scheduled time to discuss in more detail so we can have a better understanding If no, ask to speak to the supervisor or manager; continue to escalate until you are speaking to the right person who can explain why they disagree Remind them that recover efforts continue until resolved and the delay exceeds industry and policy standards when a refund request is reported"
What do I do if the amount we are requesting is different from the provider's amount?,"Ask the provider for proof of the amount Once proof is provided, upload to case in ClaimAi Change this case on your spread to FTM Issue for FTM to review the information and get back"
What does timely filing mean?,This is the time limit for submitting a claim for payment
How do I confirm we have received a provide appeal?,"Once an appeal is received, FTM puts in a case note in Claim Ai; once a determination is made, FTM adds a case note of the decision and next steps"
Is (insert name) a client exclusion?,Use client exclusion chart  from GTM notebook
What is timely filing for ____ (insert a state)?,Use state chart from GTM manual
When do I talk with the provider about sending a pre-paid label for mailing a refund?,"When a refund is over $5,000, send Trish an email with the case number, provider address, provider email for the shipping label to be sent to Once ready, Trish will include you on the email to the provider"
What are the proper elements of a case note?,"Person you spoke with (first and last name or last initial), department / title; contact information - phone, fax, email; purpose of the call; outcome; next steps"
What is a good case note for provider review escalation?,"Five elements: Who You Spoke With and Department; Contact Information (Direct Line, Email, Fax); Reason for Your Call; Outcome of Your Call; Next Steps Including Date to Follow Up"
What is a good case note for promise to pay?,"Five elements: Who You Spoke With and Department; Contact Information (Direct Line, Email, Fax); Reason for Your Call; Outcome of Your Call; Next Steps Including Date to Follow Up"
What is a good case note for guarantee to pay?,"Five elements: Who You Spoke With and Department; Contact Information (Direct Line, Email, Fax); Reason for Your Call; Outcome of Your Call; Next Steps Including Date to Follow Up"
What is a good template for an intial contact by me?,"Five elements: Who You Spoke With and Department; Contact Information (Direct Line, Email, Fax); Reason for Your Call; Outcome of Your Call; Next Steps Including Date to Follow Up"
What is a good template to follow up on a request?,"This is _______ from ClaimReturn on behalf of our client payer, ___________,  regarding a Refund Request for Case #. I reaching out for an update on where you are with approving this request."
"What is the ""do not mail template""?","ClaimReturn adheres to best practices and procedures and only sends information that could be construed as PHI or PII by secure email or facsimile.  Because of this, even though we understand your ask in sending you our refund requests through regular mail,  ClaimReturn must ensure it protects all information, and will only send refund requests through secured email or facsimile."
"What is the ""do not recoup / offset template?","We have confirmation by ________ that this refund is approved, and you have authorized that it be refunded via recoupment / offset.  We do thank you for your work regarding this refund up to this point; however, our client, your claim payer, has informed us that they are not able to process the refund through recoupment / offset at this time.  Accordingly, no credit has been placed on the account against future services to be rendered by you. Therefore, we need to proceed with a check being processed and sent directly to ClaimReturn."
Is there a template to use for a quality assurance / status update on check number?,"I am performing a quality assurance review on case # _______. Kindly let me know the check number, amount, date check was issued and address it was sent to."
What is the One Share Ministries template for initial contact?,"Please find the attached Refund letter Request and the EOS. The refund request was originally submitted in ________, and we haven't received any updates since then. We urgently need to know when we can expect the refund check to be mailed out to us."
Can we accept electronic funds transfer from a provider?,"We can coordinate an ETF transfer by providing the case number, provider name, address, and email to Michael"
